'may 20 2034', '2034-05-20'
'sunday august 22 1683', '1683-08-22'
'wed 17 oct 1759', '1759-10-17'
'5 april 1990', '1990-04-05'
'november 5 1639', '1639-11-05'
'december 3 1844', '1844-12-03'
'tuesday 22 february 1853', '1853-02-22'
'august 4 1645', '1645-08-04'
'tue 16 jun 1767', '1767-06-16'
'sep 15 1751', '1751-09-15'
'friday october 1 2055', '2055-10-01'
'february 24 1939', '1939-02-24'
'sunday january 7 1923', '1923-01-07'
'30 january 1646', '1646-01-30'
'friday 1648 24 07', '1648-07-24'
'jul 6 2068', '2068-07-06'
'sunday 3 december 1747', '1747-12-03'
'monday february 18 1788', '1788-02-18'
'1584 14 jan', '1584-01-14'
'wednesday november 2 1650', '1650-11-02'
'sep 9 1968', '1968-09-09'
'friday 6 april 2001', '2001-04-06'
'nov 15 1615', '1615-11-15'
'sep 6 1801', '1801-09-06'
'sat 22 apr 1719', '1719-04-22'
'14 may 1992', '1992-05-14'
'31 december 1645', '1645-12-31'
'21 august 1714', '1714-08-21'
'december 12 2053', '2053-12-12'
'august 18 1810', '1810-08-18'
'jun 28 1539', '1539-06-28'
'november 21 1539', '1539-11-21'
'jul 11 2029', '2029-07-11'
'18 april 1811', '1811-04-18'
'sat 29 apr 1820', '1820-04-29'
'april 22 1619', '1619-04-22'
'1587 26 jan', '1587-01-26'
'thursday june 19 1884', '1884-06-19'
'february 10 2009', '2009-02-10'
'september 1 1954', '1954-09-01'
'4 jul 1709', '1709-07-04'
'12 december 2049', '2049-12-12'
'20/09/1751', '1751-09-20'
'june 7 1726', '1726-06-07'
'monday 4 september 2034', '2034-09-04'
'10 july 1749', '1749-07-10'
'22/02/1834', '1834-02-22'
'jul 4 2062', '2062-07-04'
'wednesday 5 january 2028', '2028-01-05'
'february 28 1782', '1782-02-28'
'28/03/1975', '1975-03-28'
'8 jul 1593', '1593-07-08'
'friday august 15 1924', '1924-08-15'
'22 june 1569', '1569-06-22'
'may 13 1767', '1767-05-13'
'december 22 2044', '2044-12-22'
'apr 23 1694', '1694-04-23'
'tuesday december 4 2057', '2057-12-04'
'14 may 1983', '1983-05-14'
'friday april 13 1821', '1821-04-13'
'may 28 1711', '1711-05-28'
'july 29 1711', '1711-07-29'
'february 2 1849', '1849-02-02'
'sunday august 12 1923', '1923-08-12'
'aug 2 1800', '1800-08-02'
'november 8 2064', '2064-11-08'
'wednesday 1696 18 04', '1696-04-18'
'21/10/1630', '1630-10-21'
'saturday 20 march 1526', '1526-03-20'
'4 aug 2005', '2005-08-04'
'aug 17 1533', '1533-08-17'
'october 28 1679', '1679-10-28'
'june 2 1680', '1680-06-02'
'february 5 1645', '1645-02-05'
'2014 22 feb', '2014-02-22'
'1524 18 aug', '1524-08-18'
'apr 27 1815', '1815-04-27'
'sat 1641 6 july', '1641-07-06'
'sunday february 11 1810', '1810-02-11'
'wed 17 jul 1647', '1647-07-17'
'march 19 1889', '1889-03-19'
'oct 14 1931', '1931-10-14'
'tue 23 jul 1697', '1697-07-23'
'march 2 1686', '1686-03-02'
'nov 29 1946', '1946-11-29'
'apr 16 1573', '1573-04-16'
'4 july 1839', '1839-07-04'
'17 april 1766', '1766-04-17'
'1586 20 october', '1586-10-20'
'9 february 1697', '1697-02-09'
'1698 17 jan', '1698-01-17'
'september 27 1885', '1885-09-27'
'saturday 1709 4 05', '1709-05-04'
'jan 18 1530', '1530-01-18'
'tuesday august 21 1984', '1984-08-21'
'oct 5 1621', '1621-10-05'
'feb 12 1559', '1559-02-12'
'26 january 2035', '2035-01-26'
'tuesday april 28 1868', '1868-04-28'
'january 15 1648', '1648-01-15'
'20 oct 1605', '1605-10-20'
'february 19 2017', '2017-02-19'
'jun 25 1614', '1614-06-25'
'thursday 1604 29 07', '1604-07-29'
'aug 14 1622', '1622-08-14'
'tuesday november 20 1827', '1827-11-20'
'august 13 2055', '2055-08-13'
'25 apr 1942', '1942-04-25'
'december 25 1802', '1802-12-25'
'9 february 1922', '1922-02-09'
'1813 17 february', '1813-02-17'
'1 february 1815', '1815-02-01'
'february 6 1941', '1941-02-06'
'saturday december 14 2024', '2024-12-14'
'aug 19 1555', '1555-08-19'
'friday 1532 4 03', '1532-03-04'
'monday 14 april 1902', '1902-04-14'
'nov 7 1708', '1708-11-07'
'8 march 1863', '1863-03-08'
'mon 26 jul 1571', '1571-07-26'
'march 9 2032', '2032-03-09'
'thu 9 jul 1750', '1750-07-09'
'1732 22 september', '1732-09-22'
'1990 25 february', '1990-02-25'
'24/12/1892', '1892-12-24'
'feb 25 1839', '1839-02-25'
'jan 6 1873', '1873-01-06'
'jun 9 1873', '1873-06-09'
'january 11 2046', '2046-01-11'
'sep 25 1822', '1822-09-25'
'11 november 1933', '1933-11-11'
'july 18 1846', '1846-07-18'
'2 march 1659', '1659-03-02'
'1548 31 aug', '1548-08-31'
'sunday december 17 2006', '2006-12-17'
'sun 1958 2 november', '1958-11-02'
'6 june 1538', '1538-06-06'
'3 december 1698', '1698-12-03'
'tuesday april 25 2028', '2028-04-25'
'monday 1602 1 07', '1602-07-01'
'21 may 1777', '1777-05-21'
'30 july 2000', '2000-07-30'
'21 jul 1859', '1859-07-21'
'thursday november 17 1594', '1594-11-17'
'sunday april 7 2013', '2013-04-07'
'may 31 1881', '1881-05-31'
'21 march 1951', '1951-03-21'
'09/05/1662', '1662-05-09'
'wed 20 jul 1605', '1605-07-20'
'23 february 1686', '1686-02-23'
'sat 9 dec 1544', '1544-12-09'
'saturday 1547 6 12', '1547-12-06'
'wednesday 14 april 1824', '1824-04-14'
'november 25 1541', '1541-11-25'
'june 23 1682', '1682-06-23'
'november 14 1972', '1972-11-14'
'january 11 1574', '1574-01-11'
'23 july 1531', '1531-07-23'
'6/18/46', '2046-06-18'
'july 25 1625', '1625-07-25'
'sunday july 16 1950', '1950-07-16'
'sat 2016 27 august', '2016-08-27'
'sun 16 jul 2051', '2051-07-16'
'saturday 24 may 1692', '1692-05-24'
'12/25/78', '1678-12-25'
'11 june 1619', '1619-06-11'
'12/21/86', '1786-12-21'
'4 jul 1881', '1881-07-04'
'11 jan 1568', '1568-01-11'
'oct 22 1894', '1894-10-22'
'apr 13 1935', '1935-04-13'
'10 december 1550', '1550-12-10'
'mar 8 1588', '1588-03-08'
'mon 1691 25 june', '1691-06-25'
'saturday february 21 1671', '1671-02-21'
'1846 17 apr', '1846-04-17'
'september 9 1756', '1756-09-09'
'10 september 1815', '1815-09-10'
'1911 19 sep', '1911-09-19'
'27/06/2049', '2049-06-27'
'13 august 1584', '1584-08-13'
'april 15 2046', '2046-04-15'
'april 17 1522', '1522-04-17'
'dec 31 1552', '1552-12-31'
'monday may 1 1905', '1905-05-01'
'saturday 1712 21 05', '1712-05-21'
'wednesday 10 september 2036', '2036-09-10'
'april 30 1973', '1973-04-30'
'oct 25 1760', '1760-10-25'
'monday december 19 1667', '1667-12-19'
'16 mar 1682', '1682-03-16'
'1818 11 september', '1818-09-11'
'25 june 1689', '1689-06-25'
'oct 10 1946', '1946-10-10'
'6 nov 1660', '1660-11-06'
'nov 26 1544', '1544-11-26'
'sat 1567 4 november', '1567-11-04'
'6/26/94', '1694-06-26'
'october 9 1873', '1873-10-09'
'may 30 1743', '1743-05-30'
'sunday may 21 1741', '1741-05-21'
'11 june 1658', '1658-06-11'
'feb 26 1790', '1790-02-26'
'september 28 1831', '1831-09-28'
'september 1 1771', '1771-09-01'
'6 august 2010', '2010-08-06'
'monday november 17 1681', '1681-11-17'
'tue 9 feb 1560', '1560-02-09'
'december 26 1526', '1526-12-26'
'sunday 1807 26 07', '1807-07-26'
'23 february 1791', '1791-02-23'
'16 december 1649', '1649-12-16'
'thursday 16 september 1700', '1700-09-16'
'october 8 1727', '1727-10-08'
'september 11 1846', '1846-09-11'
'jul 14 1689', '1689-07-14'
'sat 27 jun 1671', '1671-06-27'
'wed 26 nov 1547', '1547-11-26'
'8 september 1931', '1931-09-08'
'july 1 1908', '1908-07-01'
'7 sep 1970', '1970-09-07'
'2 january 2024', '2024-01-02'
'october 8 1773', '1773-10-08'
'friday 1976 30 01', '1976-01-30'
'october 25 1961', '1961-10-25'
'july 11 1748', '1748-07-11'
'june 21 1816', '1816-06-21'
'mon 1600 6 march', '1600-03-06'
'27 september 1748', '1748-09-27'
'december 8 1739', '1739-12-08'
'wed 9 apr 1856', '1856-04-09'
'thursday 1693 5 11', '1693-11-05'
'tuesday 8 february 1527', '1527-02-08'
'26 march 1978', '1978-03-26'
'9 january 2007', '2007-01-09'
'1639 11 jan', '1639-01-11'
'thu 1834 14 august', '1834-08-14'
'14 july 2033', '2033-07-14'
'feb 24 1543', '1543-02-24'
'1537 1 july', '1537-07-01'
'sat 1729 20 august', '1729-08-20'
'13 november 2002', '2002-11-13'
'october 24 1812', '1812-10-24'
'8 september 1942', '1942-09-08'
'9/2/16', '1716-09-02'
'1632 8 mar', '1632-03-08'
'thursday april 13 1752', '1752-04-13'
'may 26 1880', '1880-05-26'
'december 20 1889', '1889-12-20'
'wed 30 nov 2022', '2022-11-30'
'16 august 1800', '1800-08-16'
'mar 14 1598', '1598-03-14'
'29 january 1638', '1638-01-29'
'1612 11 nov', '1612-11-11'
'30/10/1935', '1935-10-30'
'5/3/48', '1848-05-03'
'friday 1767 20 02', '1767-02-20'
'10 march 1931', '1931-03-10'
'march 10 1904', '1904-03-10'
'13 september 1671', '1671-09-13'
'sat 1956 27 october', '1956-10-27'
'august 30 1655', '1655-08-30'
'21/10/2047', '2047-10-21'
'feb 16 1727', '1727-02-16'
'22 october 1976', '1976-10-22'
'april 18 2002', '2002-04-18'
'21 july 1627', '1627-07-21'
'sat 25 feb 1679', '1679-02-25'
'wed 1887 9 february', '1887-02-09'
'1631 7 jul', '1631-07-07'
'28/01/1824', '1824-01-28'
'fri 14 nov 1580', '1580-11-14'
'3 may 1813', '1813-05-03'
'wednesday march 23 1633', '1633-03-23'
'10/8/47', '1847-10-08'
'7 october 1981', '1981-10-07'
'mar 12 1715', '1715-03-12'
'29 november 1679', '1679-11-29'
'wednesday april 10 1805', '1805-04-10'
'wednesday 3 november 1548', '1548-11-03'
'18 january 1747', '1747-01-18'
'1934 1 mar', '1934-03-01'
'january 17 1702', '1702-01-17'
'23 october 1529', '1529-10-23'
'thu 1878 5 september', '1878-09-05'
'august 25 1599', '1599-08-25'
'sunday november 18 1906', '1906-11-18'
'27 nov 2060', '2060-11-27'
'april 26 1568', '1568-04-26'
'november 18 1897', '1897-11-18'
'october 1 1523', '1523-10-01'
'12/01/1552', '1552-01-12'
'16 january 1629', '1629-01-16'
'23 dec 1651', '1651-12-23'
'thu 1760 28 february', '1760-02-28'
'1996 5 june', '1996-06-05'
'september 25 1894', '1894-09-25'
'9/12/07', '1807-09-12'
'mar 19 1776', '1776-03-19'
'3 december 1694', '1694-12-03'
'2054 7 oct', '2054-10-07'
'august 22 1708', '1708-08-22'
'february 9 2015', '2015-02-09'
'wednesday 1938 20 07', '1938-07-20'
'tue 13 oct 1925', '1925-10-13'
'aug 21 1796', '1796-08-21'
'5 jul 1840', '1840-07-05'
'july 10 1722', '1722-07-10'
'10 april 1975', '1975-04-10'
'13/07/1570', '1570-07-13'
'1870 30 december', '1870-12-30'
'tuesday july 16 1833', '1833-07-16'
'may 25 1624', '1624-05-25'
'january 22 1692', '1692-01-22'
'05/02/1769', '1769-02-05'
'3/1/69', '1869-03-01'
'thursday october 16 1823', '1823-10-16'
'nov 27 1731', '1731-11-27'
'dec 22 1954', '1954-12-22'
'31 january 1827', '1827-01-31'
'1940 13 august', '1940-08-13'
'june 23 1646', '1646-06-23'
'tuesday 5 june 1934', '1934-06-05'
'monday 1685 8 10', '1685-10-08'
'tuesday april 25 2045', '2045-04-25'
'21/05/1973', '1973-05-21'
'1535 30 aug', '1535-08-30'
'mon 2026 14 september', '2026-09-14'
'11 february 1591', '1591-02-11'
'aug 22 1933', '1933-08-22'
'20 jul 1635', '1635-07-20'
'sun 14 sep 1800', '1800-09-14'
'may 23 1775', '1775-05-23'
'july 20 1593', '1593-07-20'
'3 february 1922', '1922-02-03'
'mon 9 jan 1797', '1797-01-09'
'march 16 1838', '1838-03-16'
'11 june 1632', '1632-06-11'
'nov 19 1940', '1940-11-19'
'apr 19 1800', '1800-04-19'
'may 25 1584', '1584-05-25'
'monday 2028 21 02', '2028-02-21'
'27 february 1757', '1757-02-27'
'aug 27 1775', '1775-08-27'
'december 21 1559', '1559-12-21'
'18 may 1539', '1539-05-18'
'mar 3 1633', '1633-03-03'
'fri 1783 7 november', '1783-11-07'
'september 23 2040', '2040-09-23'
'wednesday december 1 1666', '1666-12-01'
'september 7 1706', '1706-09-07'
'19/05/1582', '1582-05-19'
'jul 21 1705', '1705-07-21'
'tuesday 17 july 1934', '1934-07-17'
'sunday 2042 21 09', '2042-09-21'
'wed 1654 7 october', '1654-10-07'
'mar 14 1614', '1614-03-14'
'friday august 6 1677', '1677-08-06'
'thursday february 1 1945', '1945-02-01'
'tuesday 1955 10 05', '1955-05-10'
'1/3/87', '1587-01-03'
'monday july 15 2019', '2019-07-15'
'december 21 1547', '1547-12-21'
'may 22 1685', '1685-05-22'
'7/14/55', '1955-07-14'
'3/3/88', '1988-03-03'
'2 december 1834', '1834-12-02'
'mar 17 1752', '1752-03-17'
'december 1 2055', '2055-12-01'
'january 21 1624', '1624-01-21'
'sunday february 11 1720', '1720-02-11'
'2 november 1602', '1602-11-02'
'oct 1 1864', '1864-10-01'
'12/09/1674', '1674-09-12'
'11 august 1569', '1569-08-11'
'24 dec 1915', '1915-12-24'
'mon 25 apr 1532', '1532-04-25'
'29 october 1900', '1900-10-29'
'thursday october 9 1552', '1552-10-09'
'4 may 1577', '1577-05-04'
'january 1 1585', '1585-01-01'
'oct 16 1861', '1861-10-16'
'may 19 1550', '1550-05-19'
'1541 27 jun', '1541-06-27'
'wednesday may 23 1787', '1787-05-23'
'tue 6 mar 1821', '1821-03-06'
'wednesday june 24 1654', '1654-06-24'
'wed 8 jan 1969', '1969-01-08'
'august 14 1827', '1827-08-14'
'friday 20 august 1582', '1582-08-20'
'1943 9 february', '1943-02-09'
'dec 5 1529', '1529-12-05'
'april 16 1609', '1609-04-16'
'1721 23 nov', '1721-11-23'
'9 october 1674', '1674-10-09'
'24 april 1966', '1966-04-24'
'20 december 1772', '1772-12-20'
'june 18 1612', '1612-06-18'
'12/10/63', '1763-12-10'
'monday february 4 1546', '1546-02-04'
'monday march 3 1732', '1732-03-03'
'23 february 1583', '1583-02-23'
'thursday 21 august 1766', '1766-08-21'
'jun 3 1935', '1935-06-03'
'15 october 1935', '1935-10-15'
'oct 18 1752', '1752-10-18'
'saturday october 1 1560', '1560-10-01'
'august 20 1591', '1591-08-20'
'jul 29 1966', '1966-07-29'
'sunday november 5 1758', '1758-11-05'
'apr 27 2070', '2070-04-27'
'28/07/1834', '1834-07-28'
'august 14 1937', '1937-08-14'
'thursday 1552 14 02', '1552-02-14'
'5 november 1605', '1605-11-05'
'1953 24 march', '1953-03-24'
'february 4 1594', '1594-02-04'
'june 16 2034', '2034-06-16'
'20 september 1528', '1528-09-20'
'16 jan 1781', '1781-01-16'
'tuesday october 19 1971', '1971-10-19'
'december 16 1814', '1814-12-16'
'march 6 1735', '1735-03-06'
'mon 18 dec 2056', '2056-12-18'
'june 13 1627', '1627-06-13'
'november 16 1643', '1643-11-16'
'7/24/40', '1840-07-24'
'october 1 1609', '1609-10-01'
'17/10/1915', '1915-10-17'
'mar 29 1620', '1620-03-29'
'august 22 1591', '1591-08-22'
'12/12/1524', '1524-12-12'
'1 december 1891', '1891-12-01'
'20 april 1848', '1848-04-20'
'5 november 1691', '1691-11-05'
'june 7 1712', '1712-06-07'
'5/10/43', '1743-05-10'
'9 november 2066', '2066-11-09'
'september 23 1737', '1737-09-23'
'march 13 1673', '1673-03-13'
'07/03/1979', '1979-03-07'
'29 june 2029', '2029-06-29'
'tuesday june 16 1559', '1559-06-16'
'14 may 1590', '1590-05-14'
'august 21 1796', '1796-08-21'
'1877 8 august', '1877-08-08'
'friday 1527 30 12', '1527-12-30'
'apr 14 1757', '1757-04-14'
'nov 30 1557', '1557-11-30'
'10/23/11', '1811-10-23'
'friday october 3 1569', '1569-10-03'
'june 3 1979', '1979-06-03'
'fri 13 dec 1861', '1861-12-13'
'13 july 1621', '1621-07-13'
'january 10 1801', '1801-01-10'
'august 10 1526', '1526-08-10'
'sep 25 2028', '2028-09-25'
'monday 24 november 1755', '1755-11-24'
'thu 18 jul 1585', '1585-07-18'
'saturday 15 june 1748', '1748-06-15'
'tuesday may 18 1694', '1694-05-18'
'jan 23 2000', '2000-01-23'
'17 may 1833', '1833-05-17'
'1764 28 feb', '1764-02-28'
'february 9 1680', '1680-02-09'
'tuesday 1744 19 05', '1744-05-19'
'16 august 1949', '1949-08-16'
'nov 26 2015', '2015-11-26'
'sat 1717 20 march', '1717-03-20'
'1 feb 1717', '1717-02-01'
'mar 12 1879', '1879-03-12'
'20 aug 1631', '1631-08-20'
'18 january 1909', '1909-01-18'
'5 april 1999', '1999-04-05'
'fri 7 feb 1902', '1902-02-07'
'1727 11 sep', '1727-09-11'
'april 19 1919', '1919-04-19'
'27 september 2001', '2001-09-27'
'september 9 2023', '2023-09-09'
'sunday june 10 1888', '1888-06-10'
'july 3 1701', '1701-07-03'
'aug 15 1953', '1953-08-15'
'saturday 4 february 1865', '1865-02-04'
'1842 23 november', '1842-11-23'
'february 25 2020', '2020-02-25'
'22 november 1865', '1865-11-22'
'11/28/47', '1647-11-28'
'friday 23 february 2018', '2018-02-23'
'7/19/15', '1915-07-19'
'1991 31 march', '1991-03-31'
'oct 9 1590', '1590-10-09'
'08/01/1667', '1667-01-08'
'march 28 1854', '1854-03-28'
'27 october 1806', '1806-10-27'
'december 4 1740', '1740-12-04'
'1825 21 december', '1825-12-21'
'february 28 1612', '1612-02-28'
'december 30 1664', '1664-12-30'
'9 december 1794', '1794-12-09'
'nov 21 1882', '1882-11-21'
'feb 3 1731', '1731-02-03'
'june 1 1719', '1719-06-01'
'1677 1 sep', '1677-09-01'
'15 november 1821', '1821-11-15'
'wednesday 16 september 1772', '1772-09-16'
'february 22 1986', '1986-02-22'
'may 1 1842', '1842-05-01'
'9/30/69', '1769-09-30'
'18 march 2052', '2052-03-18'
'1953 2 sep', '1953-09-02'
'26 july 1820', '1820-07-26'
'february 2 1709', '1709-02-02'
'wednesday 26 august 1654', '1654-08-26'
'friday september 3 1599', '1599-09-03'
'sat 1906 16 june', '1906-06-16'
'november 21 1900', '1900-11-21'
'25 feb 1883', '1883-02-25'
'20 february 1875', '1875-02-20'
'29 august 2063', '2063-08-29'
'24/09/1702', '1702-09-24'
'april 20 2018', '2018-04-20'
'october 23 1658', '1658-10-23'
'sat 29 jun 1901', '1901-06-29'
'june 26 1671', '1671-06-26'
'saturday 1626 16 05', '1626-05-16'
'wed 1532 7 december', '1532-12-07'
'feb 27 1551', '1551-02-27'
'12/31/22', '2022-12-31'
'january 29 1659', '1659-01-29'
'monday june 22 1525', '1525-06-22'
'2 aug 1647', '1647-08-02'
'thursday 2051 15 06', '2051-06-15'
'2 october 1886', '1886-10-02'
'wednesday november 4 2048', '2048-11-04'
'july 1 1630', '1630-07-01'
'tue 18 aug 1733', '1733-08-18'
'17 december 1719', '1719-12-17'
'1831 16 december', '1831-12-16'
'30 december 1768', '1768-12-30'
'28/06/1764', '1764-06-28'
'june 10 2013', '2013-06-10'
'1634 13 nov', '1634-11-13'
'july 22 1543', '1543-07-22'
'feb 1 1687', '1687-02-01'
'17/08/1742', '1742-08-17'
'september 28 1815', '1815-09-28'
'4/27/75', '1775-04-27'
'sun 1932 23 october', '1932-10-23'
'13/09/1650', '1650-09-13'
'april 2 1536', '1536-04-02'
'apr 4 1560', '1560-04-04'
'thu 31 jan 1608', '1608-01-31'
'october 10 1872', '1872-10-10'
'may 14 1595', '1595-05-14'
'19/06/2022', '2022-06-19'
'jun 5 1613', '1613-06-05'
'22 december 1887', '1887-12-22'
'sat 1692 26 january', '1692-01-26'
'17 may 1648', '1648-05-17'
'14 december 1766', '1766-12-14'
'wednesday 30 april 1732', '1732-04-30'
'16 september 1675', '1675-09-16'
'06/06/1867', '1867-06-06'
'18 sep 2038', '2038-09-18'
'1999 4 june', '1999-06-04'
'sunday 1646 23 09', '1646-09-23'
'20 july 1529', '1529-07-20'
'august 12 2046', '2046-08-12'
'friday 1939 21 07', '1939-07-21'
'january 31 1900', '1900-01-31'
'mar 23 1797', '1797-03-23'
'oct 30 1673', '1673-10-30'
'october 7 1854', '1854-10-07'
'dec 1 2057', '2057-12-01'
'wed 1936 11 november', '1936-11-11'
'17 march 1879', '1879-03-17'
'saturday 1599 9 01', '1599-01-09'
'apr 8 1553', '1553-04-08'
'june 8 1526', '1526-06-08'
'october 23 1744', '1744-10-23'
'17 dec 1912', '1912-12-17'
'july 19 1906', '1906-07-19'
'14/03/2058', '2058-03-14'
'wednesday september 2 1981', '1981-09-02'
'november 13 1768', '1768-11-13'
'wednesday november 5 1941', '1941-11-05'
'23 february 2023', '2023-02-23'
'20 december 1880', '1880-12-20'
'sunday 14 december 2064', '2064-12-14'
'29 december 1799', '1799-12-29'
'november 22 2059', '2059-11-22'
'1747 18 march', '1747-03-18'
'sat 1547 11 october', '1547-10-11'
'14 january 1576', '1576-01-14'
'mar 4 1883', '1883-03-04'
'november 15 1908', '1908-11-15'
'aug 1 1714', '1714-08-01'
'sun 1725 11 february', '1725-02-11'
'tue 1799 11 june', '1799-06-11'
'23 december 1771', '1771-12-23'
'7 september 1540', '1540-09-07'
'saturday 17 july 1762', '1762-07-17'
'january 29 1762', '1762-01-29'
'september 20 1888', '1888-09-20'
'mar 14 1858', '1858-03-14'
'6 december 1708', '1708-12-06'
'may 21 1556', '1556-05-21'
'mar 8 1943', '1943-03-08'
'june 2 1857', '1857-06-02'
'march 10 2061', '2061-03-10'
'23 feb 1885', '1885-02-23'
'sep 12 1845', '1845-09-12'
'22/08/1893', '1893-08-22'
'1976 26 mar', '1976-03-26'
'sun 22 dec 1985', '1985-12-22'
'15 april 2028', '2028-04-15'
'11/13/59', '1859-11-13'
'june 25 1824', '1824-06-25'
'monday february 2 1767', '1767-02-02'
'26 october 1935', '1935-10-26'
'december 18 2028', '2028-12-18'
'24 march 1950', '1950-03-24'
'7 july 1639', '1639-07-07'
'oct 21 1785', '1785-10-21'
'17 july 1635', '1635-07-17'
'oct 3 1567', '1567-10-03'
'october 20 1938', '1938-10-20'
'march 3 2069', '2069-03-03'
'2032 26 december', '2032-12-26'
'june 11 1647', '1647-06-11'
'january 29 1551', '1551-01-29'
'october 13 1677', '1677-10-13'
'jan 10 1621', '1621-01-10'
'9 october 1951', '1951-10-09'
'1/23/94', '1594-01-23'
'12 may 2002', '2002-05-12'
'oct 13 1987', '1987-10-13'
'apr 9 1910', '1910-04-09'
'11/02/1952', '1952-02-11'
'28 august 1986', '1986-08-28'
'30 september 1769', '1769-09-30'
'4 january 2070', '2070-01-04'
'1822 7 february', '1822-02-07'
'tue 2065 10 november', '2065-11-10'
'16 october 1977', '1977-10-16'
'22 april 1822', '1822-04-22'
'thursday february 25 1982', '1982-02-25'
'1685 7 may', '1685-05-07'
'20/09/1932', '1932-09-20'
'1674 21 august', '1674-08-21'
'12/23/67', '1767-12-23'
'march 9 1781', '1781-03-09'
'tue 14 dec 1543', '1543-12-14'
'27 apr 1773', '1773-04-27'
'october 3 1656', '1656-10-03'
'may 18 1632', '1632-05-18'
'9/12/45', '1945-09-12'
'tuesday july 14 2054', '2054-07-14'
'friday 1538 19 08', '1538-08-19'
'mon 8 may 1916', '1916-05-08'
'sunday january 23 1983', '1983-01-23'
'saturday august 13 2061', '2061-08-13'
'wednesday 16 october 1641', '1641-10-16'
'01/09/2046', '2046-09-01'
'4 august 1921', '1921-08-04'
'july 29 1843', '1843-07-29'
'nov 19 2064', '2064-11-19'
'1948 17 november', '1948-11-17'
'12 september 1634', '1634-09-12'
'june 10 1682', '1682-06-10'
'3 january 1939', '1939-01-03'
'22 september 1533', '1533-09-22'
'1925 5 nov', '1925-11-05'
'13 oct 2014', '2014-10-13'
'7 jul 1935', '1935-07-07'
'aug 10 1833', '1833-08-10'
'10/17/02', '1802-10-17'
'1774 19 jan', '1774-01-19'
'february 24 1528', '1528-02-24'
'aug 25 1725', '1725-08-25'
'29 april 1831', '1831-04-29'
'july 9 1619', '1619-07-09'
'sep 27 2010', '2010-09-27'
'sunday february 24 1805', '1805-02-24'
'sat 1996 23 march', '1996-03-23'
'november 16 1903', '1903-11-16'
'1673 24 feb', '1673-02-24'
'11 mar 1791', '1791-03-11'
'8/27/23', '1923-08-27'
'1732 24 jul', '1732-07-24'
'1706 14 december', '1706-12-14'
'2 may 1685', '1685-05-02'
'november 28 2047', '2047-11-28'
'1 october 1995', '1995-10-01'
'25 july 2046', '2046-07-25'
'4 jul 1650', '1650-07-04'
'sun 29 oct 2000', '2000-10-29'
'25/11/1937', '1937-11-25'
'tuesday february 8 1916', '1916-02-08'
'12/31/91', '1591-12-31'
'friday 1995 28 04', '1995-04-28'
'29 november 1639', '1639-11-29'
'december 4 2064', '2064-12-04'
'14 july 1860', '1860-07-14'
'1713 27 february', '1713-02-27'
'monday june 2 1760', '1760-06-02'
'7 november 1670', '1670-11-07'
'2 nov 1966', '1966-11-02'
'25 december 1904', '1904-12-25'
'tue 1526 27 july', '1526-07-27'
'28 july 1994', '1994-07-28'
'26/10/1577', '1577-10-26'
'12/22/12', '1712-12-22'
'sunday march 30 1980', '1980-03-30'
'oct 2 1701', '1701-10-02'
'sep 12 1957', '1957-09-12'
'22 jan 1778', '1778-01-22'
'sep 4 1900', '1900-09-04'
'october 25 1961', '1961-10-25'
'friday may 16 2008', '2008-05-16'
'tuesday march 15 1622', '1622-03-15'
'dec 25 2066', '2066-12-25'
'25 october 1742', '1742-10-25'
'10 february 1547', '1547-02-10'
'august 30 2046', '2046-08-30'
'saturday april 22 1600', '1600-04-22'
'22 may 1605', '1605-05-22'
'dec 17 1972', '1972-12-17'
'jun 17 1853', '1853-06-17'
'sat 12 jan 1811', '1811-01-12'
'september 10 2045', '2045-09-10'
'jul 19 1811', '1811-07-19'
'oct 8 2015', '2015-10-08'
'may 25 1631', '1631-05-25'
'6 mar 2049', '2049-03-06'
'jun 2 1558', '1558-06-02'
'10/05/1664', '1664-05-10'
'march 12 1838', '1838-03-12'
'tue 1596 6 february', '1596-02-06'
'07/02/2048', '2048-02-07'
'thursday 28 october 1943', '1943-10-28'
'july 11 1785', '1785-07-11'
'3 november 1749', '1749-11-03'
'dec 5 2007', '2007-12-05'
'november 27 2017', '2017-11-27'
'april 15 1996', '1996-04-15'
'15 august 2032', '2032-08-15'
'06/04/1800', '1800-04-06'
'wed 21 may 1930', '1930-05-21'
'07/05/1722', '1722-05-07'
'thursday september 19 1805', '1805-09-19'
'fri 1902 8 august', '1902-08-08'
'march 2 1657', '1657-03-02'
'may 16 2018', '2018-05-16'
'wed 22 feb 1584', '1584-02-22'
'21/03/2046', '2046-03-21'
'1861 27 sep', '1861-09-27'
'monday october 10 1791', '1791-10-10'
'monday july 13 1581', '1581-07-13'
'february 22 1807', '1807-02-22'
'friday december 3 1954', '1954-12-03'
'sep 6 1605', '1605-09-06'
'1638 25 january', '1638-01-25'
'jan 24 1752', '1752-01-24'
'october 9 1786', '1786-10-09'
'mar 2 1527', '1527-03-02'
'april 4 1986', '1986-04-04'
'sep 16 1615', '1615-09-16'
'1873 8 december', '1873-12-08'
'oct 4 1656', '1656-10-04'
'monday 2007 3 09', '2007-09-03'
'fri 2029 19 october', '2029-10-19'
'tuesday august 18 1778', '1778-08-18'
'26 dec 1718', '1718-12-26'
'july 1 1892', '1892-07-01'
